iter	Passed	Remaining
846	1506	272
847	1509	270
848	1512	269
849	1515	267
850	1518	265
851	1520	264
852	1524	262
853	1527	261
854	1529	259
855	1533	257
856	1535	256
857	1538	254
858	1541	253
859	1544	251
860	1547	249
861	1551	248
862	1554	246
863	1557	245
864	1560	243
865	1563	241
866	1566	240
867	1569	238
868	1572	237
869	1575	235
870	1578	233
871	1581	232
872	1584	230
873	1587	228
874	1590	227
875	1593	225
876	1596	223
877	1599	222
878	1602	220
879	1604	218
880	1607	217
881	1611	215
882	1614	213
883	1617	212
884	1620	210
885	1622	208
886	1626	207
887	1628	205
888	1632	203
889	1634	202
890	1637	200
891	1640	198
892	1643	196
893	1646	195
894	1650	193
895	1653	191
896	1656	190
897	1659	188
898	1662	186
899	1665	185
900	1667	183
901	1670	181
902	1673	179
903	1676	177
904	1679	176
905	1681	174
906	1684	172
907	1687	170
908	1690	169
909	1693	167
910	1696	165
911	1700	164
912	1704	162
913	1707	160
914	1710	158
915	1713	157
916	1716	155
917	1719	153
918	1722	151
919	1725	150
920	1728	148
921	1732	146
922	1734	144
923	1737	142
924	1739	141
925	1742	139
926	1745	137
927	1748	135
928	1751	133
929	1754	132
930	1757	130
931	1761	128
932	1764	126
933	1767	124
934	1769	123
935	1772	121
936	1775	119
937	1779	117
938	1782	115
939	1787	114
940	1790	112
941	1793	110
942	1796	108
943	1800	106
944	1803	104
945	1807	103
946	1811	101
947	1814	99
948	1817	97
949	1821	95
950	1825	94
951	1828	92
952	1831	90
953	1834	88
954	1838	86
955	1841	84
956	1844	82
957	1847	81
958	1851	79
959	1854	77
960	1858	75
961	1862	73
962	1868	71
963	1871	69
964	1875	68
965	1878	66
966	1882	64
967	1887	62
968	1892	60
969	1896	58
970	1900	56
971	1903	54
972	1908	52
973	1912	51
974	1916	49
975	1920	47
976	1924	45
977	1927	43
978	1931	41
979	1936	39
980	1940	37
981	1944	35
982	1949	33
983	1953	31
984	1957	29
985	1962	27
986	1965	25
987	1970	23
988	1975	21
989	1980	20
990	1984	18
991	1988	16
992	1994	14
993	2004	12
994	2013	10
995	2020	8
996	2027	6
997	2036	4
998	2040	2
999	2046	0
